Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Mon Pre-Party,Miami Beach,01/28/2019,1/28,18:00,02:00,Unofficial Event,https://www.dropbox.com/s/oea5j8o9ezryrke/MetalMondayPreParty.txt?dl=1,,https://www.dropbox.com/s/vesmomj0lqv4b24/beachParty.jpg?raw=1
Tue Pre-Party,Miami Beach,01/29/2019,1/29,18:00,02:00,Unofficial Event,https://www.dropbox.com/s/7ewpqpquobefsf0/MetalympicsPreParty.txt?dl=1,,https://www.dropbox.com/s/vesmomj0lqv4b24/beachParty.jpg?raw=1
Wed Pre-Party,Miami Beach,01/30/2019,1/30,18:00,02:00,Unofficial Event,https://www.dropbox.com/s/j0jyradgvwlvz0l/liveBandKaraoke.txt?dl=1,,https://www.dropbox.com/s/vesmomj0lqv4b24/beachParty.jpg?raw=1
Beach Party,Miami Beach,01/30/2019,1/30,13:00,18:00,Unofficial Event,https://www.dropbox.com/s/4jmojehjfr90p0n/beachPartyDescription.txt?dl=1,,https://www.dropbox.com/s/4h8vcfdkpdikslb/BeachPartyLogo1.png?raw=1
Group Photo,Miami Beach,01/30/2019,1/30,16:30,17:00,Unofficial Event,https://www.dropbox.com/s/yk6pho9ofk7s5rv/beachPhotoDescription.txt?dl=1,,https://www.dropbox.com/s/4h8vcfdkpdikslb/BeachPartyLogo1.png?raw=1
Hollywood Pre,Hollywood,01/29/2019,1/29,19:00,5:00,Unofficial Event,https://www.dropbox.com/s/s6binctqjtj55gd/HollywoodPreParty.txt?dl=1,,https://www.dropbox.com/s/b8vxt5bvhjhv008/70000_tons_of_hollywood_brewing_preparty_2019.jpg?raw=1
Hollywood Post,Hollywood,02/04/2019,2/4,19:00,5:00,Unofficial Event,https://www.dropbox.com/s/zy4zhy2a7ocia68/HollywoodPostParty.txt?dl=1,,https://www.dropbox.com/s/4s5vu1vdy5r7shk/70k_post_cruise_partty_2019.jpg?raw=1
Riptide After-Party,Hollywood,02/04/2019,2/4,12:00,18:00,Unofficial Event,https://www.dropbox.com/s/ynf2jaj149ghff4/ripTideAfterParty.txt?dl=1,,https://www.dropbox.com/s/k4b41kxay80zcaj/Riptide1.jpg?raw=1
Mors Principium Est,Rink,1/31/2019,Day 1,17:15,18:00,Show, , , 
Dragony,Lounge,1/31/2019,Day 1,17:15,18:00,Show, , , 
Delain,Theater,1/31/2019,Day 1,18:00,18:45,Show, , , 
TYR,Rink,1/31/2019,Day 1,18:45,19:30,Show, , , 
Convulse,Lounge,1/31/2019,Day 1,18:45,19:30,Show, , , 
Dark Funeral,Theater,1/31/2019,Day 1,19:30,20:30,Show, , , 
Fleshgod Apocalypse,Rink,1/31/2019,Day 1,20:30,21:15,Show, , , 
Twilight Force,Lounge,1/31/2019,Day 1,20:15,21:00,Show, , , 
Soulfly,Theater,1/31/2019,Day 1,21:15,22:15,Show, , , 
Svartsot,Lounge,1/31/2019,Day 1,21:45,22:30,Show, , , 
Bloodbath,Rink,1/31/2019,Day 1,22:15,23:15,Show, , , 
Accept,Theater,1/31/2019,Day 1,23:15,00:30,Show, , , 
Tiamat,Rink,2/1/2019,Day 1,00:15,01:15,Show, , , 
Internal Suffering,Lounge,2/1/2019,Day 1,00:45,01:30,Show, , , 
Sodom,Theater,2/1/2019,Day 1,01:15,02:15,Show, , , 
Mayan,Rink,2/1/2019,Day 1,02:15,03:00,Show, , , 
Perpetual Warfare,Lounge,2/1/2019,Day 1,02:15,03:00,Show, , , 
The Black Dahlia Murder,Theater,2/1/2019,Day 1,03:00,03:45,Show, , , 
Masacre,Rink,2/1/2019,Day 1,03:45,04:30,Show, , , 
Temperance,Theater,2/1/2019,Day 1,04:30,05:15,Show, , , 
Exmortus,Rink,2/1/2019,Day 1,05:15,06:00,Show, , , 
Karaoke,Sports Bar,2/1/2019,Day 1,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Gloryhammer,Pool,2/1/2019,Day 2,10:00,10:45,Show, , , 
Warbringer,Theater,2/1/2019,Day 2,10:45,11:30,Show, , , 
Bodyfarm,Rink,2/1/2019,Day 2,11:30,12:15,Show, , , 
Raven,Pool,2/1/2019,Day 2,11:30,12:15,Show, , , 
Unleash The Archers,Theater,2/1/2019,Day 2,12:15,13:00,Show, , , 
Arkona,Pool,2/1/2019,Day 2,13:00,13:45,Show, , , 
Visions Of Atlantis,Rink,2/1/2019,Day 2,13:00,13:45,Show, , , 
Pestilence,Theater,2/1/2019,Day 2,13:45,14:30,Show, , , 
Subway To Sally,Pool,2/1/2019,Day 2,14:30,15:30,Show, , , 
Grim Reaper,Rink,2/1/2019,Day 2,14:45,15:30,Show, , , 
Tristania,Theater,2/1/2019,Day 2,15:30,16:15,Show, , , 
Coroner,Pool,2/1/2019,Day 2,16:15,17:15,Show, , , 
Van Canto,Rink,2/1/2019,Day 2,16:15,17:00,Show, , , 
Kalmah,Theater,2/1/2019,Day 2,17:00,18:00,Show, , , 
Nile,Pool,2/1/2019,Day 2,18:00,19:00,Show, , , 
Riot V,Rink,2/1/2019,Day 2,18:00,18:45,Show, , , 
Ensiferum,Theater,2/1/2019,Day 2,18:45,19:45,Show, , , 
Carnation,Lounge,2/1/2019,Day 2,19:00,19:45,Show, , , 
Kamelot,Pool,2/1/2019,Day 2,19:45,20:45,Show, , , 
Atrocity,Rink,2/1/2019,Day 2,19:45,20:30,Show, , , 
Obituary,Theater,2/1/2019,Day 2,20:45,21:45,Show, , , 
Persefone,Lounge,2/1/2019,Day 2,20:45,21:30,Show, , , 
Vicious Rumors,Rink,2/1/2019,Day 2,21:30,22:15,Show, , , 
Eluveitie,Pool,2/1/2019,Day 2,21:45,23:00,Show, , , 
Blood Red Throne,Lounge,2/1/2019,Day 2,22:15,23:00,Show, , , 
Rage,Theater,2/1/2019,Day 2,23:00,00:15,Show, , , 
Krisiun,Rink,2/1/2019,Day 2,23:00,23:45,Show, , , 
